ACCOUNT_NAME,CAMPAIGN_NAME,ADGROUP_NAME,AD_NAME,DEVICE,ACCOUNT_ID,CAMPAIGN_ID,ADGROUP_ID,AD_ID,DAY,TRACKING_URL,IMPS,CLICKS,COST,CONVERSIONS,CONV_VALUE
primeNumber,30_ETL,30_01_ETL,30_01_ETL_2,PC,877045,1624735,297442186,645157514,2019-11-27,--,7.0,0.0,0.0,0.0,0.0
primeNumber,30_ETL,30_01_ETL,30_01_ETL_2,PC,877045,1624735,297442186,645157514,2019-11-28,--,5.0,0.0,0.0,0.0,0.0
primeNumber,30_ETL,30_01_ETL,30_01_ETL_2,PC,877045,1624735,297442186,645157514,2019-11-29,--,6.0,0.0,0.0,0.0,0.0
primeNumber,30_ETL,30_01_ETL,30_01_ETL_2,PC,877045,1624735,297442186,645157514,2019-11-30,--,4.0,0.0,0.0,0.0,0.0
primeNumber,30_ETL,30_01_ETL,30_01_ETL_2,PC,877045,1624735,297442186,645157514,2019-12-02,--,5.0,0.0,0.0,0.0,0.0
primeNumber,30_ETL,30_01_ETL,30_01_ETL_2,PC,877045,1624735,297442186,645157514,2019-12-03,--,7.0,0.0,0.0,0.0,0.0
primeNumber,30_ETL,30_01_ETL,30_01_ETL_2,PC,877045,1624735,297442186,645157514,2019-12-04,--,7.0,0.0,0.0,0.0,0.0
primeNumber,30_ETL,30_01_ETL,30_01_ETL_2,PC,877045,1624735,297442186,645157514,2019-12-05,--,8.0,0.0,0.0,0.0,0.0
primeNumber,30_ETL,30_01_ETL,30_01_ETL_2,PC,877045,1624735,297442186,645157514,2019-12-06,--,6.0,0.0,0.0,0.0,0.0
primeNumber,30_ETL,30_01_ETL,30_01_ETL_2,PC,877045,1624735,297442186,645157514,2019-12-07,--,1.0,0.0,0.0,0.0,0.0
primeNumber,30_ETL,30_01_ETL,30_01_ETL_2,PC,877045,1624735,297442186,645157514,2019-12-08,--,2.0,0.0,0.0,0.0,0.0
